Nom,ID,Note,Classe,Nombre Commentaires,Note Estimé,Difference Note,Classe Estimé Note,Classe Estimé Commentaires,Precision Positive,Precision Negative,Precision Neutral,Precision Global,Precision Weighted
LA LISTE DE SCHINDLER,9393,4.653,Positive,1245.0,3.69,-0.96,Positive,Positive,96.1,8.38,5.56,36.68,91.09
À COUTEAUX TIRÉS,267546,3.821,Positive,750.0,4.09,0.27,Positive,Positive,83.13,30.59,14.29,42.67,68.91
RENDEZ-VOUS CHEZ LES MALAWAS,265573,2.094,Negative,270.0,1.96,-0.13,Negative,Negative,39.41,86.46,0.0,41.96,62.38
KAAMELOTT – PREMIER VOLET,248191,3.333,Positive,1920.0,2.64,-0.69,Neutral,Neutral,73.63,69.69,8.0,50.44,65.17
VENOM,138473,3.209,Positive,825.0,2.99,-0.22,Neutral,Neutral,65.1,54.73,0.0,39.94,47.97
QU'EST-CE QU'ON A ENCORE FAIT AU BON DIEU?,262394,3.03,Positive,855.0,3.56,0.53,Positive,Positive,55.72,71.33,14.29,47.11,51.1
READY PLAYER ONE,229831,3.926,Positive,1605.0,4.19,0.26,Positive,Positive,83.1,50.62,5.88,46.53,70.99
LES ANIMAUX FANTASTIQUES : LES CRIMES DE GRINDELWALD,228086,2.957,Neutral,810.0,2.98,0.02,Neutral,Neutral,55.39,63.64,33.33,50.79,53.18
A STAR IS BORN,173109,4.034,Positive,1560.0,4.21,0.18,Positive,Positive,84.77,58.06,33.33,58.72,76.21
BOHEMIAN RHAPSODY,185719,4.325,Positive,2310.0,4.36,0.04,Positive,Positive,89.82,38.59,0.0,42.8,79.74
TU NE TUERAS POINT,208104,4.217,Positive,1020.0,4.14,-0.08,Positive,Positive,90.37,29.09,0.0,39.82,79.78
VENOM: LET THERE BE CARNAGE,269758,2.533,Neutral,360.0,1.6,-0.93,Negative,Negative,48.36,76.06,20.0,48.14,55.84
LUI,286347,2.121,Negative,165.0,1.76,-0.36,Negative,Negative,45.0,93.55,0.0,46.18,70.92
XXX,39160,2.662,Neutral,360.0,2.79,0.13,Neutral,Neutral,47.41,65.93,33.33,48.89,49.92
LES VISITEURS EN AMÉRIQUE,32547,1.421,Negative,420.0,1.75,0.33,Negative,Negative,18.7,94.74,13.64,42.36,77.37
LE SEIGNEUR DES ANNEAUX : LE RETOUR DU ROI,39187,4.664,Positive,2100.0,4.14,-0.52,Positive,Positive,96.21,13.02,0.0,36.41,90.79
LE ROI LION,10862,4.606,Positive,1125.0,4.62,0.01,Positive,Positive,94.74,34.0,3.33,44.02,89.11
"THE DARK KNIGHT, LE CHEVALIER NOIR",115362,4.384,Positive,5460.0,3.97,-0.41,Positive,Positive,92.64,31.2,5.26,43.03,83.48
INTERSTELLAR,114782,4.1,Positive,4020.0,3.97,-0.13,Positive,Positive,86.58,46.67,1.67,44.97,74.99
PARASITE,255238,4.009,Positive,1290.0,3.73,-0.28,Positive,Positive,86.23,35.47,16.67,46.12,74.19
MATRIX,19776,4.3,Positive,1515.0,4.19,-0.11,Positive,Positive,92.02,33.79,3.64,43.15,83.35
MORTAL ENGINES,176755,2.972,Neutral,435.0,3.29,0.32,Positive,Positive,56.3,64.84,0.0,40.38,44.59
LA LA LAND,229490,3.896,Positive,1635.0,4.04,0.14,Positive,Positive,81.35,54.36,10.53,48.75,68.04
LES TUCHE,141890,2.719,Neutral,990.0,3.17,0.45,Positive,Neutral,45.3,72.9,21.88,46.69,47.97
1917,265567,3.763,Positive,1380.0,3.3,-0.46,Positive,Positive,81.35,40.35,17.65,46.45,66.91
STAR WARS: L'ASCENSION DE SKYWALKER,215094,2.788,Neutral,2670.0,2.44,-0.35,Negative,Neutral,57.38,69.73,22.92,50.01,57.54
LION,229070,4.243,Positive,870.0,4.43,0.19,Positive,Positive,89.8,34.92,0.0,41.57,79.33
MOTHER!,241747,2.599,Neutral,810.0,1.42,-1.18,Negative,Negative,56.68,68.96,9.09,44.91,56.33
LES TUCHE 3,248049,2.17,Negative,705.0,2.28,0.11,Negative,Negative,37.31,85.02,22.22,48.19,61.79
SPIDER-MAN : NEW GENERATION,233998,4.266,Positive,435.0,4.49,0.22,Positive,Positive,93.07,42.86,0.0,45.31,86.12
THE AMAZING SPIDER-MAN,128188,3.292,Positive,2775.0,3.32,0.03,Positive,Positive,68.12,52.23,20.75,47.03,55.15
S.O.S. FANTÔMES,126155,2.584,Neutral,555.0,2.73,0.15,Neutral,Neutral,51.13,86.84,25.0,54.32,61.86
ASSASSIN'S CREED,198730,2.891,Neutral,900.0,2.36,-0.53,Negative,Neutral,54.38,56.23,21.43,44.01,46.4
JOKER,258374,4.145,Positive,3270.0,3.26,-0.88,Positive,Positive,89.22,34.85,2.67,42.25,76.86
L'ÂGE DE GLACE : LES LOIS DE L'UNIVERS,226078,2.777,Neutral,345.0,3.02,0.24,Positive,Neutral,40.54,60.24,66.67,55.82,56.19
KINGSMAN : SERVICES SECRETS,198771,4.066,Positive,1410.0,4.36,0.29,Positive,Positive,89.77,34.51,11.76,45.35,80.32
GET OUT,241160,3.623,Positive,1065.0,2.88,-0.74,Neutral,Neutral,83.63,36.03,27.27,48.98,69.1
LA BELLE ET LA BÊTE,203397,3.091,Positive,1185.0,3.78,0.69,Positive,Positive,55.03,60.67,23.08,46.26,48.03
INTOUCHABLES,182745,4.307,Positive,7170.0,4.63,0.32,Positive,Positive,88.74,37.46,7.69,44.63,79.97
TAKEN 3,214007,2.657,Neutral,585.0,2.33,-0.33,Negative,Neutral,37.4,66.49,42.86,48.92,49.84
