Nom,ID,Note,Classe,Nombre Commentaires
LA LISTE DE SCHINDLER,9393,4.653,Positive,1245.0
À COUTEAUX TIRÉS,267546,3.821,Positive,750.0
RENDEZ-VOUS CHEZ LES MALAWAS,265573,2.094,Negative,270.0
KAAMELOTT – PREMIER VOLET,248191,3.333,Positive,1920.0
VENOM,138473,3.209,Positive,825.0
QU'EST-CE QU'ON A ENCORE FAIT AU BON DIEU?,262394,3.03,Positive,855.0
READY PLAYER ONE,229831,3.926,Positive,1605.0
LES ANIMAUX FANTASTIQUES : LES CRIMES DE GRINDELWALD,228086,2.957,Neutral,810.0
A STAR IS BORN,173109,4.034,Positive,1560.0
BOHEMIAN RHAPSODY,185719,4.325,Positive,2310.0
TU NE TUERAS POINT,208104,4.217,Positive,1020.0
VENOM: LET THERE BE CARNAGE,269758,2.533,Neutral,360.0
LUI,286347,2.121,Negative,165.0
XXX,39160,2.662,Neutral,360.0
LES VISITEURS EN AMÉRIQUE,32547,1.421,Negative,420.0
LE SEIGNEUR DES ANNEAUX : LE RETOUR DU ROI,39187,4.664,Positive,2100.0
LE ROI LION,10862,4.606,Positive,1125.0
"THE DARK KNIGHT, LE CHEVALIER NOIR",115362,4.384,Positive,5460.0
INTERSTELLAR,114782,4.1,Positive,4020.0
PARASITE,255238,4.009,Positive,1290.0
MATRIX,19776,4.3,Positive,1515.0
MORTAL ENGINES,176755,2.972,Neutral,435.0
LA LA LAND,229490,3.896,Positive,1635.0
LES TUCHE,141890,2.719,Neutral,990.0
1917,265567,3.763,Positive,1380.0
STAR WARS: L'ASCENSION DE SKYWALKER,215094,2.788,Neutral,2670.0
LION,229070,4.243,Positive,870.0
MOTHER!,241747,2.599,Neutral,810.0
LES TUCHE 3,248049,2.17,Negative,705.0
SPIDER-MAN : NEW GENERATION,233998,4.266,Positive,435.0
THE AMAZING SPIDER-MAN,128188,3.292,Positive,2775.0
S.O.S. FANTÔMES,126155,2.584,Neutral,555.0
ASSASSIN'S CREED,198730,2.891,Neutral,900.0
JOKER,258374,4.145,Positive,3270.0
L'ÂGE DE GLACE : LES LOIS DE L'UNIVERS,226078,2.777,Neutral,345.0
KINGSMAN : SERVICES SECRETS,198771,4.066,Positive,1410.0
GET OUT,241160,3.623,Positive,1065.0
LA BELLE ET LA BÊTE,203397,3.091,Positive,1185.0
INTOUCHABLES,182745,4.307,Positive,7170.0
TAKEN 3,214007,2.657,Neutral,585.0
